label,n,m,dmax,bmax,median_seconds,q1_seconds,q3_seconds,iqr_seconds,median_peak_rss_mb,q1_peak_rss_mb,q3_peak_rss_mb,iqr_peak_rss_mb
MIS-2M,43,71,11,19,0.010413099997094832,0.009932699998898897,0.01193414999943343,0.0020014500005345326,157.546875,157.369140625,157.6796875,0.310546875
MIS-4M,83,135,11,21,0.019190099999832455,0.017476900000474416,0.02246164999814937,0.004984749997674953,158.07421875,158.044921875,158.1875,0.142578125
MIS-6M,123,198,12,25,0.027167599997483194,0.02653739999732352,0.027755849998357007,0.0012184500010334887,158.86328125,158.673828125,159.03515625,0.361328125
MIS-8M,163,271,16,29,0.04256590000295546,0.0421812000022328,0.04456615000162856,0.002384949999395758,159.515625,159.267578125,159.802734375,0.53515625
MIS-12M,242,400,24,37,0.06093130000226665,0.05873205000170856,0.061608600000909064,0.002876549999200506,162.16796875,161.90625,162.38671875,0.48046875
