edge_type,mean,sd,ci95_low,ci95_high,runs
user-role,0.10169337337272408,0.011839591817452325,0.09823089682998351,0.10541964316813242,40
intra-module,-0.06545961693778062,0.02467124310826143,-0.07297758347017326,-0.05793266656637667,40
cross-module,-0.47276909722222216,0.08047122728342576,-0.49677061631944436,-0.44839738343253965,40
endpoint-coreDB,-0.265232607752697,0.1120259771467996,-0.2988879796584037,-0.23030220927386105,40
role-AUTH,-0.6309377688283938,0.013035208374910493,-0.634731049983003,-0.626897632315601,40
