alpha,rank_rho_vs_0_5,rank_p_vs_0_5,top10_overlap_vs_0_5,top5_bridge_fraction,mean_user-role,mean_intra-module,mean_cross-module,mean_endpoint-coreDB,mean_role-AUTH
0.0,0.7823024973000471,1.0369023937199646e-28,1.0,1.0,8.987519723156029e-17,-0.2264770723104056,-0.7849206349206348,-0.7485119047619047,-1.252579365079365
0.25,0.9983513275124445,1.817564155001991e-164,1.0,1.0,0.1544075963718822,-0.0715939153439153,-0.588690476190476,-0.5613839285714284,-0.9394345238095237
0.5,1.0,0.0,1.0,1.0,0.1029383975812548,-0.0477292768959435,-0.39246031746031745,-0.37425595238095233,-0.6262896825396825
0.75,0.9984751151878856,1.0988090340500305e-166,1.0,1.0,0.051469198790627294,-0.02386463844797172,-0.19623015873015862,-0.18712797619047616,-0.3131448412698413
0.9,0.9985518063069613,3.750598833475662e-168,1.0,1.0,0.020587679516251074,-0.009545855379188634,-0.07849206349206346,-0.07485119047619049,-0.1252579365079364
